 0.0102	0
 0.0107	0
 0.0112	0
 0.0117	0
 0.0123	0
 0.0129	1
 0.0135	0
 0.0141	2
 0.0148	0
 0.0155	1
 0.0162	1
 0.0170	1
 0.0178	0
 0.0186	2
 0.0195	3
 0.0204	2
 0.0214	7
 0.0224	9
 0.0234	9
 0.0245	11
 0.0257	9
 0.0269	20
 0.0282	13
 0.0295	31
 0.0309	18
 0.0324	34
 0.0339	42
 0.0355	60
 0.0372	103
 0.0389	129
 0.0407	132
 0.0427	183
 0.0447	226
 0.0468	332
 0.0490	318
 0.0513	408
 0.0537	465
 0.0562	562
 0.0589	683
 0.0617	851
 0.0646	914
 0.0676	1133
 0.0708	1324
 0.0741	1616
 0.0776	1868
 0.0813	2262
 0.0851	2711
 0.0891	3029
 0.0933	3772
 0.0977	4284
 0.1023	4904
 0.1072	5852
 0.1122	6681
 0.1175	8039
 0.1230	9268
 0.1288	10657
 0.1349	12510
 0.1413	14301
 0.1479	16388
 0.1549	19233
 0.1622	22033
 0.1698	25104
 0.1778	28911
 0.1862	33156
 0.1950	37710
 0.2042	42927
 0.2138	49608
 0.2239	56611
 0.2344	63809
 0.2455	73232
 0.2570	82897
 0.2692	94217
 0.2818	107124
 0.2951	121412
 0.3090	136315
 0.3236	154255
 0.3388	175009
 0.3548	196942
 0.3715	222358
 0.3890	250900
 0.4074	282124
 0.4266	318047
 0.4467	357514
 0.4677	403378
 0.4898	453278
 0.5129	508487
 0.5370	569847
 0.5623	637993
 0.5888	713990
 0.6166	799632
 0.6457	892232
 0.6761	992500
 0.7079	1102589
 0.7413	1218838
 0.7762	1338891
 0.8128	1465087
 0.8511	1595007
 0.8913	1722045
 0.9333	1847984
 0.9772	1971215
 1.0233	2110078
 1.0715	2250664
 1.1220	2399954
 1.1749	2548298
 1.2303	2702368
 1.2882	2864419
 1.3490	3025706
 1.4125	3192333
 1.4791	3351642
 1.5488	3511372
 1.6218	3672033
 1.6982	3820784
 1.7783	3952438
 1.8621	4076706
 1.9498	4173952
 2.0417	4240525
 2.1380	4271113
 2.2387	4250542
 2.3442	4181831
 2.4547	4049927
 2.5704	3874472
 2.6915	3651623
 2.8184	3390794
 2.9512	3110455
 3.0903	2820307
 3.2359	2516109
 3.3884	2220469
 3.5481	1927866
 3.7154	1662133
 3.8905	1431420
 4.0738	1243409
 4.2658	1095866
 4.4668	985301
 4.6774	905611
 4.8978	845870
 5.1286	794114
 5.3703	752996
 5.6234	717188
 5.8884	689985
 6.1660	663232
 6.4565	640783
 6.7608	615721
 7.0795	588042
 7.4131	558616
 7.7625	524248
 8.1283	490188
 8.5114	454495
 8.9125	421932
 9.3325	386031
 9.7724	347387
10.2329	311875
10.7152	277374
11.2202	243159
11.7490	210823
12.3027	181550
12.8825	154330
13.4896	129711
14.1254	109268
14.7911	89831
15.4882	73378
16.2181	60217
16.9824	48277
17.7828	38944
18.6209	31113
19.4984	24724
20.4174	19887
21.3796	15704
22.3872	12214
23.4423	9266
24.5471	7236
25.7040	5179
26.9153	3804
28.1838	2423
29.5121	1551
30.9030	1014
32.3594	777
33.8844	597
35.4813	464
37.1535	360
38.9045	245
40.7380	162
42.6580	143
44.6684	107
46.7735	71
48.9779	37
51.2861	20
53.7032	9
56.2341	2
58.8844	0
61.6595	0
64.5654	0
67.6083	0
70.7946	0
74.1310	0
77.6247	0
81.2831	0
85.1138	0
89.1251	0
93.3254	0
97.7237	0
